path_id,context,status,n_steps,states,state_labels,moves,start_node,end_node,end_state
path_1,direct_co_o_bridge,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210,H2O
path_2,direct_co_o_bridge,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az330,H2O
path_3,direct_co_o_bridge,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__O__O_atom_tilt0_az0,O
path_4,direct_co_o_bridge,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,H2O2
path_5,direct_co_o_bridge,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,H2O2
path_6,direct_co_o_bridge,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,OOH
path_7,direct_co_o_bridge,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__OOH__OOH_default_tilt30_az300,OOH
path_8,direct_co_o_bridge,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__O__O_atom_tilt0_az0,O
path_9,direct_co_o_bridge,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge__O__O_atom_tilt0_az0,O
path_10,direct_co_top,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,direct_co_top__O2__O2_end_on_tilt30_az0,direct_co_top__H2O__H2O_co_bound_tilt0_az0,H2O
path_11,direct_co_top,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,direct_co_top__O2__O2_end_on_tilt30_az0,direct_co_top__O__O_atom_tilt0_az0,O
path_12,direct_co_top,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,direct_co_top__O2__O2_end_on_tilt30_az0,direct_co_top__H2O2__H2O2_default_tilt0_az0,H2O2
path_13,direct_co_top,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,direct_co_top__O2__O2_end_on_tilt30_az0,direct_co_top__OOH__OOH_default_tilt30_az30,OOH
path_14,direct_co_top,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,direct_co_top__O2__O2_end_on_tilt30_az0,direct_co_top__O__O_atom_tilt0_az0,O
path_15,direct_hollow,complete,4,O2 -> O -> OH -> H2O,OO* -> O* -> OH* -> H2O*,-O -> +H -> +H,direct_hollow__O2__O2_side_on_tilt30_az30,direct_hollow__H2O__H2O_co_bound_tilt30_az0,H2O
path_16,direct_hollow,complete,4,O2 -> OOH -> OH -> H2O,OO* -> OOH* -> OH* -> H2O*,+H -> -O -> +H,direct_hollow__O2__O2_side_on_tilt30_az30,direct_hollow__H2O__H2O_co_bound_tilt30_az0,H2O
path_17,direct_hollow,partial,4,O2 -> O -> OH -> OOH,OO* -> O* -> OH* -> OOH*,-O -> +H -> +O,direct_hollow__O2__O2_side_on_tilt30_az30,direct_hollow__OOH__OOH_default_tilt30_az0,OOH
path_18,direct_hollow,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,direct_hollow__O2__O2_side_on_tilt30_az30,direct_hollow__O__O_atom_tilt0_az0,O
path_19,vacancy_center,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__H2O__H2O_center_h2p00_co_bound_tilt30_az0,H2O
path_20,vacancy_center,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__H2O__H2O_offset_y+_h1p90_co_bound_tilt30_az180,H2O
path_21,vacancy_center,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__H2O__H2O_center_h2p00_co_bound_tilt30_az0,H2O
path_22,vacancy_center,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__H2O__H2O_offset_y+_h1p90_co_bound_tilt30_az180,H2O
path_23,vacancy_center,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__O__O_atom_tilt30_az30,O
path_24,vacancy_center,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__O__O_atom_tilt30_az30,O
path_25,vacancy_center,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__H2O2__H2O2_center_h1p80_default_tilt30_az150,H2O2
path_26,vacancy_center,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__H2O2__H2O2_center_h1p80_default_tilt30_az150,H2O2
path_27,vacancy_center,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__H2O2__H2O2_center_h1p80_default_tilt30_az150,H2O2
path_28,vacancy_center,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__H2O2__H2O2_center_h1p80_default_tilt30_az150,H2O2
path_29,vacancy_center,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__OOH__OOH_default_tilt30_az150,OOH
path_30,vacancy_center,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__OOH__OOH_default_tilt30_az150,OOH
path_31,vacancy_center,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__OOH__OOH_default_tilt30_az150,OOH
path_32,vacancy_center,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__OOH__OOH_default_tilt30_az150,OOH
path_33,vacancy_center,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__O__O_atom_tilt30_az30,O
path_34,vacancy_center,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__O__O_atom_tilt30_az30,O
path_35,vacancy_center,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__O__O_atom_tilt30_az30,O
path_36,vacancy_center,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center__O__O_atom_tilt30_az30,O
path_37,vacancy_co_top_13,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__H2O__H2O_co_bound_tilt0_az0,H2O
path_38,vacancy_co_top_13,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__H2O__H2O_co_bound_tilt0_az0,H2O
path_39,vacancy_co_top_13,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__H2O__H2O_co_bound_tilt0_az0,H2O
path_40,vacancy_co_top_13,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__H2O__H2O_co_bound_tilt0_az0,H2O
path_41,vacancy_co_top_13,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__O__O_atom_tilt0_az0,O
path_42,vacancy_co_top_13,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__O__O_atom_tilt0_az0,O
path_43,vacancy_co_top_13,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az120,H2O2
path_44,vacancy_co_top_13,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az240,H2O2
path_45,vacancy_co_top_13,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az120,H2O2
path_46,vacancy_co_top_13,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az240,H2O2
path_47,vacancy_co_top_13,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__OOH__OOH_default_tilt30_az90,OOH
path_48,vacancy_co_top_13,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__OOH__OOH_default_tilt30_az90,OOH
path_49,vacancy_co_top_13,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__OOH__OOH_default_tilt30_az90,OOH
path_50,vacancy_co_top_13,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__OOH__OOH_default_tilt30_az90,OOH
path_51,vacancy_co_top_13,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__O__O_atom_tilt0_az0,O
path_52,vacancy_co_top_13,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__O__O_atom_tilt0_az0,O
path_53,vacancy_co_top_13,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__O__O_atom_tilt0_az0,O
path_54,vacancy_co_top_13,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13__O__O_atom_tilt0_az0,O
path_55,vacancy_co_top_3,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__H2O__H2O_co_bound_tilt0_az0,H2O
path_56,vacancy_co_top_3,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__H2O__H2O_co_bound_tilt0_az0,H2O
path_57,vacancy_co_top_3,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__H2O__H2O_co_bound_tilt0_az0,H2O
path_58,vacancy_co_top_3,complete,6,O2 -> O -> OH -> OOH -> H2O2 -> H2O,OO* -> O* -> OH* -> OOH* -> H2O2* -> H2O*,-O -> +H -> +O -> +H -> -O,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__H2O__H2O_co_bound_tilt0_az0,H2O
path_59,vacancy_co_top_3,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__O__O_atom_tilt0_az0,O
path_60,vacancy_co_top_3,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__O__O_atom_tilt0_az0,O
path_61,vacancy_co_top_3,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt0_az0,H2O2
path_62,vacancy_co_top_3,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt30_az300,H2O2
path_63,vacancy_co_top_3,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt0_az0,H2O2
path_64,vacancy_co_top_3,partial,5,O2 -> OOH -> OH -> H2O -> H2O2,OO* -> OOH* -> OH* -> H2O* -> H2O2*,+H -> -O -> +H -> +O,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt30_az300,H2O2
path_65,vacancy_co_top_3,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__OOH__OOH_default_tilt30_az270,OOH
path_66,vacancy_co_top_3,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__OOH__OOH_default_tilt30_az270,OOH
path_67,vacancy_co_top_3,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__OOH__OOH_default_tilt30_az270,OOH
path_68,vacancy_co_top_3,partial,6,O2 -> O -> OH -> H2O -> H2O2 -> OOH,OO* -> O* -> OH* -> H2O* -> H2O2* -> OOH*,-O -> +H -> +H -> +O -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__OOH__OOH_default_tilt30_az270,OOH
path_69,vacancy_co_top_3,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__O__O_atom_tilt0_az0,O
path_70,vacancy_co_top_3,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__O__O_atom_tilt0_az0,O
path_71,vacancy_co_top_3,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__O__O_atom_tilt0_az0,O
path_72,vacancy_co_top_3,partial,6,O2 -> OOH -> H2O2 -> H2O -> OH -> O,OO* -> OOH* -> H2O2* -> H2O* -> OH* -> O*,+H -> +H -> -O -> -H -> -H,vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3__O__O_atom_tilt0_az0,O
path_73,vacancy_edge_bridge,complete,4,O2 -> O -> OH -> H2O,OO* -> O* -> OH* -> H2O*,-O -> +H -> +H,vacancy_edge_bridge__O2__O2_end_on_tilt30_az240,vacancy_edge_bridge__H2O__H2O_co_bound_tilt30_az150,H2O
path_74,vacancy_edge_bridge,complete,4,O2 -> OOH -> OH -> H2O,OO* -> OOH* -> OH* -> H2O*,+H -> -O -> +H,vacancy_edge_bridge__O2__O2_end_on_tilt30_az240,vacancy_edge_bridge__H2O__H2O_co_bound_tilt30_az150,H2O
path_75,vacancy_edge_bridge,partial,4,O2 -> O -> OH -> OOH,OO* -> O* -> OH* -> OOH*,-O -> +H -> +O,vacancy_edge_bridge__O2__O2_end_on_tilt30_az240,vacancy_edge_bridge__OOH__OOH_default_tilt30_az300,OOH
path_76,vacancy_edge_bridge,partial,4,O2 -> OOH -> OH -> O,OO* -> OOH* -> OH* -> O*,+H -> -O -> -H,vacancy_edge_bridge__O2__O2_end_on_tilt30_az240,vacancy_edge_bridge__O__O_atom_tilt0_az0,O
