node_id,context,family,label,state,site,co_idx,final_energy_eV,max_force_eVA
direct_co_o_bridge__O2__O2_side_on_tilt30_az90,direct_co_o_bridge,direct_co_o_bridge__O2,O2_side_on_tilt30_az90,O2,co_o_bridge,3,-539.2214965820312,0.009822876192629337
direct_co_o_bridge__O__O_atom_tilt0_az0,direct_co_o_bridge,direct_co_o_bridge__O,O_atom_tilt0_az0,O,co_o_bridge,3,-535.0685424804688,0.009664512239396572
direct_co_o_bridge__OH__OH_co_bound_tilt30_az30,direct_co_o_bridge,direct_co_o_bridge__OH,OH_co_bound_tilt30_az30,OH,co_o_bridge,3,-539.28076171875,0.005222277250140905
direct_co_o_bridge__OOH__OOH_default_tilt30_az300,direct_co_o_bridge,direct_co_o_bridge__OOH,OOH_default_tilt30_az300,OOH,co_o_bridge,3,-544.304931640625,0.00952011626213789
direct_co_o_bridge__H2O2__H2O2_default_tilt30_az150,direct_co_o_bridge,direct_co_o_bridge__H2O2,H2O2_default_tilt30_az150,H2O2,co_o_bridge,3,-548.6590576171875,0.00959053449332714
direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az210,direct_co_o_bridge,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az210,H2O,direct_co_o_bridge,,-544.8475341796875,0.00876469723880291
direct_co_o_bridge__H2O__H2O_bridge_h2p10_co_bound_tilt30_az330,direct_co_o_bridge,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az330,H2O,direct_co_o_bridge,,-544.8474731445312,0.008780857548117638
direct_co_top__O2__O2_end_on_tilt30_az0,direct_co_top,direct_co_top__O2,O2_end_on_tilt30_az0,O2,co_top,,-539.2088623046875,0.008954501710832119
direct_co_top__O__O_atom_tilt0_az0,direct_co_top,direct_co_top__O,O_atom_tilt0_az0,O,co_top,,-534.0307006835938,0.009786369279026985
direct_co_top__OH__OH_co_bound_tilt30_az0,direct_co_top,direct_co_top__OH,OH_co_bound_tilt30_az0,OH,co_top,,-539.273681640625,0.00794060155749321
direct_co_top__OOH__OOH_default_tilt30_az30,direct_co_top,direct_co_top__OOH,OOH_default_tilt30_az30,OOH,co_top,,-544.4213256835938,0.009943440556526184
direct_co_top__H2O2__H2O2_default_tilt0_az0,direct_co_top,direct_co_top__H2O2,H2O2_default_tilt0_az0,H2O2,co_top,,-548.6209106445312,0.009562338702380657
direct_co_top__H2O__H2O_co_bound_tilt0_az0,direct_co_top,direct_co_top__H2O,H2O_co_bound_tilt0_az0,H2O,co_top,,-544.6804809570312,0.0065392241813242435
direct_hollow__O2__O2_side_on_tilt30_az30,direct_hollow,direct_hollow__O2,O2_side_on_tilt30_az30,O2,hollow,,-539.8640747070312,0.009936271235346794
direct_hollow__O__O_atom_tilt0_az0,direct_hollow,direct_hollow__O,O_atom_tilt0_az0,O,hollow,,-534.288818359375,0.009368467144668102
direct_hollow__OH__OH_co_bound_tilt30_az30,direct_hollow,direct_hollow__OH,OH_co_bound_tilt30_az30,OH,hollow,,-538.1326293945312,0.00949699804186821
direct_hollow__OOH__OOH_default_tilt30_az0,direct_hollow,direct_hollow__OOH,OOH_default_tilt30_az0,OOH,hollow,,-544.944580078125,0.00975431501865387
direct_hollow__H2O__H2O_co_bound_tilt30_az0,direct_hollow,direct_hollow__H2O,H2O_co_bound_tilt30_az0,H2O,hollow,,-544.7366943359375,0.009219562634825706
vacancy_center__O2__O2_end_on_tilt30_az0,vacancy_center,vacancy_center__O2,O2_end_on_tilt30_az0,O2,vacancy,,-534.67626953125,0.02439265511929989
vacancy_center__O__O_atom_tilt30_az30,vacancy_center,vacancy_center__O,O_atom_tilt30_az30,O,vacancy,,-530.1414184570312,0.00401952862739563
vacancy_center__OH__OH_center_h1p40_co_bound_tilt30_az0,vacancy_center,vacancy_center__OH,OH_center_h1p40_co_bound_tilt30_az0,OH,vacancy_center,,-535.135986328125,0.007221798412501812
vacancy_center__OH__OH_offset_y+_h1p60_co_bound_tilt30_az180,vacancy_center,vacancy_center__OH,OH_offset_y+_h1p60_co_bound_tilt30_az180,OH,vacancy_center,,-535.1347045898438,0.009171298705041409
vacancy_center__OOH__OOH_default_tilt30_az150,vacancy_center,vacancy_center__OOH,OOH_default_tilt30_az150,OOH,vacancy,,-539.99072265625,0.009752589277923107
vacancy_center__H2O2__H2O2_center_h1p80_default_tilt30_az150,vacancy_center,vacancy_center__H2O2,H2O2_center_h1p80_default_tilt30_az150,H2O2,vacancy_center,,-544.7077026367188,0.009864486753940582
vacancy_center__H2O__H2O_center_h2p00_co_bound_tilt30_az0,vacancy_center,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az0,H2O,vacancy_center,,-539.6277465820312,0.009101667441427708
vacancy_center__H2O__H2O_offset_y+_h1p90_co_bound_tilt30_az180,vacancy_center,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt30_az180,H2O,vacancy_center,,-539.6177368164062,0.009575257077813148
vacancy_co_top_13__O2__O2_side_on_tilt30_az180,vacancy_co_top_13,vacancy_co_top_13__O2,O2_side_on_tilt30_az180,O2,neighbor_co_top,13,-535.1011352539062,0.009907151572406292
vacancy_co_top_13__O__O_atom_tilt0_az0,vacancy_co_top_13,vacancy_co_top_13__O,O_atom_tilt0_az0,O,neighbor_co_top,13,-530.2056884765625,0.00832045916467905
vacancy_co_top_13__OH__OH_cotop13_h1p70_co_bound_tilt30_az90,vacancy_co_top_13,vacancy_co_top_13__OH,OH_cotop13_h1p70_co_bound_tilt30_az90,OH,vacancy_co_top_13,,-535.5274047851562,0.005707905627787113
vacancy_co_top_13__OH__OH_cotop13_h1p70_co_bound_tilt30_az30,vacancy_co_top_13,vacancy_co_top_13__OH,OH_cotop13_h1p70_co_bound_tilt30_az30,OH,vacancy_co_top_13,,-535.2195434570312,0.009855899028480053
vacancy_co_top_13__OOH__OOH_default_tilt30_az90,vacancy_co_top_13,vacancy_co_top_13__OOH,OOH_default_tilt30_az90,OOH,neighbor_co_top,13,-539.5732421875,0.02030525915324688
vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az120,vacancy_co_top_13,vacancy_co_top_13__H2O2,H2O2_cotop13_h1p90_default_tilt30_az120,H2O2,vacancy_co_top_13,,-544.8416137695312,0.009771643206477165
vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az240,vacancy_co_top_13,vacancy_co_top_13__H2O2,H2O2_cotop13_h1p90_default_tilt30_az240,H2O2,vacancy_co_top_13,,-544.7149658203125,0.009780199266970158
vacancy_co_top_13__H2O__H2O_co_bound_tilt0_az0,vacancy_co_top_13,vacancy_co_top_13__H2O,H2O_co_bound_tilt0_az0,H2O,neighbor_co_top,13,-539.6807250976562,0.014046922326087952
vacancy_co_top_3__O2__O2_side_on_tilt0_az0,vacancy_co_top_3,vacancy_co_top_3__O2,O2_side_on_tilt0_az0,O2,neighbor_co_top,3,-535.0675659179688,0.009015509858727455
vacancy_co_top_3__O__O_atom_tilt0_az0,vacancy_co_top_3,vacancy_co_top_3__O,O_atom_tilt0_az0,O,neighbor_co_top,3,-530.2053833007812,0.009773827157914639
vacancy_co_top_3__OH__OH_cotop3_h1p70_co_bound_tilt30_az330,vacancy_co_top_3,vacancy_co_top_3__OH,OH_cotop3_h1p70_co_bound_tilt30_az330,OH,vacancy_co_top_3,,-535.2196655273438,0.009791870601475239
vacancy_co_top_3__OH__OH_cotop3_h1p70_co_bound_tilt30_az270,vacancy_co_top_3,vacancy_co_top_3__OH,OH_cotop3_h1p70_co_bound_tilt30_az270,OH,vacancy_co_top_3,,-535.2195434570312,0.009888283908367157
vacancy_co_top_3__OOH__OOH_default_tilt30_az270,vacancy_co_top_3,vacancy_co_top_3__OOH,OOH_default_tilt30_az270,OOH,neighbor_co_top,3,-539.5715942382812,0.019020048901438713
vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt30_az300,vacancy_co_top_3,vacancy_co_top_3__H2O2,H2O2_cotop3_h1p90_default_tilt30_az300,H2O2,vacancy_co_top_3,,-544.841552734375,0.00997785571962595
vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt0_az0,vacancy_co_top_3,vacancy_co_top_3__H2O2,H2O2_cotop3_h1p90_default_tilt0_az0,H2O2,vacancy_co_top_3,,-544.6751098632812,0.029191546142101288
vacancy_co_top_3__H2O__H2O_co_bound_tilt0_az0,vacancy_co_top_3,vacancy_co_top_3__H2O,H2O_co_bound_tilt0_az0,H2O,neighbor_co_top,3,-539.67236328125,0.02260066755115986
vacancy_edge_bridge__O2__O2_end_on_tilt30_az240,vacancy_edge_bridge,vacancy_edge_bridge__O2,O2_end_on_tilt30_az240,O2,vacancy_edge_bridge,3,-534.9910888671875,0.014184174127876759
vacancy_edge_bridge__O__O_atom_tilt0_az0,vacancy_edge_bridge,vacancy_edge_bridge__O,O_atom_tilt0_az0,O,vacancy_edge_bridge,3,-530.160888671875,0.00809353869408369
vacancy_edge_bridge__OH__OH_co_bound_tilt30_az270,vacancy_edge_bridge,vacancy_edge_bridge__OH,OH_co_bound_tilt30_az270,OH,vacancy_edge_bridge,3,-535.2976684570312,0.009942770004272461
vacancy_edge_bridge__OOH__OOH_default_tilt30_az300,vacancy_edge_bridge,vacancy_edge_bridge__OOH,OOH_default_tilt30_az300,OOH,vacancy_edge_bridge,3,-539.8358154296875,0.015550837852060795
vacancy_edge_bridge__H2O__H2O_co_bound_tilt30_az150,vacancy_edge_bridge,vacancy_edge_bridge__H2O,H2O_co_bound_tilt30_az150,H2O,vacancy_edge_bridge,3,-540.3440551757812,0.009766190312802792
